player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
206626,Nuria,Niemes,U,19720619,ECU,,Q96308922
206627,Sally Ann,Cuttler,U,19760510,AUS,,
206628,Clarissa,Martinessi,U,19790505,PAR,,
206629,Cecilia,Quarracino,U,19831128,ARG,,
206630,Ana Carolina,Santoro,U,19800627,BRA,,
206631,Danielle,Moita,U,19831223,BRA,,
206632,Fernanda,Luiz,U,19840621,BRA,,
206633,Varmila,Trneckova,U,19710203,SVK,,
206634,Camila,Andolfato,R,19770312,BRA,,
206635,Maria,Mendonca,U,19540809,BRA,,
206636,Sylvia,Vay,U,19620921,BRA,,
206637,Claudia,Mucino,U,19711216,MEX,,Q96351869
206638,Rosangela,Martinez,U,19820725,BRA,,
206639,Carolina,Maurer,U,19790527,BRA,,
206640,Monica,Saffie,U,19781111,CHI,,
206641,Janisse,Mota,U,19790326,BRA,,
206642,Erika,Pineider,L,19790629,ITA,,
206643,Marialice,Alonso,U,19810903,BRA,,
206644,Amie,Garcia,U,19800517,USA,,
206645,Melisa,Lemus,U,19800607,ARG,,
206646,Vlatka,Jovanovic,R,19821013,CRO,,
206647,Marilia,Fritelli,U,19781115,BRA,,
206648,Christina,Weiss,U,19751022,GER,,
206649,Gisele,Ferreira,U,19780409,BRA,,
206650,Christina,Ferreira,U,19760622,BRA,,
206651,Suzana,Rodrigues,U,19751110,BRA,,
206652,Mayuko,Koshiba,U,19691215,JPN,,
206653,Simone,Jardim,R,19791107,BRA,173,
206654,Nina,Janzekovic,U,19790421,SLO,,
206655,Ianes,Moreira,U,19790621,BRA,,
206656,Yulia,Mirna,U,19820901,UKR,,
206657,Carla,Bruno,U,19800627,BRA,,
206658,Camila,Sagae,U,19820123,BRA,,
206659,Simone,Vasconcellos Calves,U,19641201,BRA,,
206660,Ana Paula,Mores,U,19770301,BRA,,
206661,Idalina,Franca,U,19820315,BRA,,
206662,Renata,Suarez,U,19800401,BRA,,
206663,Virginia,Zaffaroni,U,19801230,URU,,
206664,Soledad,Lucero,U,19791124,ARG,,
206665,Renata,Martins,U,19781008,BRA,,
206666,Paula,Umana,U,19740910,CRC,,Q97704793
206667,Debora,Carvalho,U,19791130,BRA,,
206668,Nina,Wennerstrom,U,19790406,SWE,,Q85149897
206669,Analia,Baca,U,19791215,ARG,,
206670,Mariana,Duarte,U,19810823,BRA,170,
206671,Karem,Harboe,U,19790423,CHI,,
206672,Daniela,Bolanos,U,19791207,ARG,,
206673,Juliana,Marques,U,19790711,BRA,,
206674,Metamin,Sharijah,U,19700321,BRU,,
206675,Kum Ok,Im,U,19770129,KOR,,
206676,Miranda,Ball,U,19771004,AUS,,
206677,Reina,Oda,U,19781014,JPN,,
206678,Arati,Ponnappa,U,19760801,IND,,
206679,Dragica,Joksimovic,U,19820525,SRB,,
206680,Denitza,Alexandrova,U,19811102,BUL,,
206681,Jovana,Stanisljevic,U,19801222,SRB,,
206682,Daniela,Groseanu,U,19791217,ROU,,
206683,Gergana,Ganeva,U,19840219,BUL,,
206684,Marina,Tasheva,U,19810526,BUL,,
206685,Raluca,Gheorghe,U,19770618,ROU,,
206686,Milena,Stojanovic,U,19790920,YUG,,
206687,Veneta,Karatchomakova,U,19780627,BUL,,
206688,Antoaneta,Neykova,U,19800217,BUL,,
206689,Tamara,Pavlov,U,19780525,YUG,,
206690,Ivona,Mihailova,U,19771213,MKD,,
206691,Tzveta,Panajotova,U,19791030,BUL,,
206692,Claudia,Reimering,U,19770624,NED,,
206693,Madalina,Niculaita,U,19761219,ROU,,
206694,Milena,Gadjanova,U,19780426,BUL,,
206695,Michaela,Lazerova,U,19780211,BUL,,
206696,Daniela,Ilieva,U,19800915,BUL,,
206697,Teodora,Nedeva,R,19770422,BUL,,Q12296186
206698,Katerina,Traykova,U,19800923,BUL,,
206699,Elena,Manevska,U,19820303,MKD,,
206700,Penka,Fileva,U,19801108,BUL,,
206701,Tanja,Lang,U,19741215,GER,,
206702,Alexandra,Greabu,U,19790927,ROU,,
206703,Charlotte,Ruitenberg,U,19760219,NED,,
206704,Teodora,Doncheva,U,19800704,BUL,,
